"MacroTrends Data Download"
"AAPL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1980-12-12,0.0983,0.0988,0.0983,0.0983,1604290
1980-12-15,0.0936,0.0936,0.0932,0.0932,601320
1980-12-16,0.0868,0.0868,0.0863,0.0863,361434
1980-12-17,0.0885,0.089,0.0885,0.0885,295690
1980-12-18,0.0911,0.0915,0.0911,0.0911,251234
1980-12-19,0.0966,0.0971,0.0966,0.0966,166311
1980-12-22,0.1013,0.1017,0.1013,0.1013,127716
1980-12-23,0.1056,0.1061,0.1056,0.1056,160622
1980-12-24,0.1111,0.1115,0.1111,0.1111,164085
1980-12-26,0.1214,0.1218,0.1214,0.1214,190027
1980-12-29,0.1231,0.1236,0.1231,0.1231,318589
1980-12-30,0.1206,0.1206,0.1201,0.1201,235528
1980-12-31,0.1172,0.1172,0.1167,0.1167,122294
1981-01-02,0.118,0.1188,0.118,0.118,74095
1981-01-05,0.1158,0.1158,0.1154,0.1154,122139
1981-01-06,0.1107,0.1107,0.1103,0.1103,154420
1981-01-07,0.1061,0.1061,0.1056,0.1056,190509
1981-01-08,0.1039,0.1039,0.1034,0.1034,136182
1981-01-09,0.109,0.1095,0.109,0.109,73535
1981-01-12,0.109,0.109,0.1082,0.1082,81073
1981-01-13,0.1047,0.1047,0.1043,0.1043,78799
1981-01-14,0.1047,0.1052,0.1047,0.1047,48865
1981-01-15,0.1069,0.1077,0.1069,0.1069,48124
1981-01-16,0.1065,0.1065,0.106,0.106,45801
1981-01-19,0.1124,0.1128,0.1124,0.1124,142108
1981-01-20,0.1095,0.1095,0.109,0.109,102872
1981-01-21,0.1111,0.1119,0.1111,0.1111,54363
1981-01-22,0.1124,0.1132,0.1124,0.1124,121511
1981-01-23,0.1125,0.1128,0.112,0.112,38380
1981-01-26,0.1107,0.1107,0.1103,0.1103,84257
1981-01-27,0.1103,0.1103,0.1095,0.1095,81071
1981-01-28,0.1065,0.1065,0.106,0.106,96273
1981-01-29,0.1026,0.1026,0.1022,0.1022,150159
1981-01-30,0.0974,0.0974,0.0966,0.0966,157961
1981-02-02,0.0915,0.0915,0.0911,0.0911,81293
1981-02-03,0.0944,0.0949,0.0944,0.0944,65460
1981-02-04,0.0979,0.0983,0.0979,0.0979,95295
1981-02-05,0.0979,0.0987,0.0979,0.0979,27118
1981-02-06,0.0983,0.0988,0.0983,0.0983,47426
1981-02-09,0.094,0.094,0.0932,0.0932,57283
1981-02-10,0.0932,0.0936,0.0932,0.0932,62720
1981-02-11,0.0907,0.0907,0.0902,0.0902,47361
1981-02-12,0.0898,0.0898,0.0893,0.0893,49781
1981-02-13,0.0881,0.0881,0.0872,0.0872,38160
1981-02-17,0.0893,0.0898,0.0893,0.0893,41969
1981-02-18,0.0932,0.094,0.0932,0.0932,65784
1981-02-19,0.0881,0.0881,0.0876,0.0876,76267
1981-02-20,0.0834,0.0834,0.083,0.083,83383
1981-02-23,0.0842,0.0847,0.0842,0.0842,48268
1981-02-24,0.082,0.082,0.0812,0.0812,58066
1981-02-25,0.0863,0.0868,0.0863,0.0863,66620
1981-02-26,0.0876,0.0881,0.0876,0.0876,37062
1981-02-27,0.0906,0.0914,0.0906,0.0906,50469
1981-03-02,0.0911,0.0915,0.0911,0.0911,40225
1981-03-03,0.0902,0.0902,0.0898,0.0898,55320
1981-03-04,0.0893,0.0893,0.0889,0.0889,46862
